productName,rating,review
Ten FIDY - Bourbon Barrel Aged,4.28,"Poured black and viscous - topped with an impressive (considering the ABV) brown head that reached a good 2 inches over the liquid. The lacing was just as impressive; it remained in the glass long after I finished.

The aroma, while mild to my chemically damaged nose (Invest in a decent respirator people!) still got through some dark fruits (plums, raisins) and bourbon. Hmm, smells pretty good.

Taste followed, along with some coffee; both in the warmth of the initial sip and the bitterness of an overly roasted bean. Interesting!

The feel was also very good; viscous enough for the ABV but not chewy- just nice, smooth sipping.

OA, this is a very good BA stout, and I'm a bit perplexed by it's sub top 100 in stouts ranking, but I suspect that means I just need to try more stouts.

Also, in my opinion alone, I believe the non BA version to taste a little better. I have to have them side by side to verify."
Ten FIDY - Bourbon Barrel Aged,4.35,"Pours out like used motor oil; pitch black, capped with a creamy light brown head. Great retention and lacing that belies its abv. Like chocolate syrup with a toasted marshmallow on top.



I'm not picking up much aroma this time. Maybe it's too cold? I get molasses, dark chocolate, espresso, and bourbon for sure, though.



The flavor is dominated by rich dark chocolate, baking cocoa powder, espresso, bourbon, some butterscotch and caramel sweetness, tobacco, vanilla, oak, leather, and a hint of smoke. Coffee and earthy bitterness lingers, tamed by hints of bourbon sweetness.



The mouthfeel is thick, rich, oily, and fudgy. Ample carbonation prevents it from being too sludgy.



This is a wonderful BBA stout. Rich in flavor, doesn't detract from the flawless base beer."
Ten FIDY - Bourbon Barrel Aged,4.21,"As an erstwhile Colorado native I proclaim this to be an excellent bourbon barrel aged stout. Personally I like the regular Ten Fiddy better, which I admit is strange. But that said, Oskar Blues did a fantastic job finding the right blend of bourbon barrels to impart a variety of interesting, well balanced nuances to the base stout. The oak and vanilla from the barrels are prominent but not overwhelming. There is a nice, burnt, candied sugar flavor, then the undertones of espresso and chocolate malts. Really quite fantastic overall."
Ten FIDY - Bourbon Barrel Aged,4.71,"Poured black with a dark tan head that hung around for a while.



Tastes of rich, dark roasted malts, thick creamy dark chocolate, leather, plum, raisins, barrel and a tad of alcohol. A nice one."
Ten FIDY - Bourbon Barrel Aged,4.52,"Appearance: Black as you can get. Brown colored head that quickly settled into a thin ring.



Smell: Vanilla, brown sugar, match light charcoal, dates, dark chocolate, sweet booze. Maybe some coffee too.



Taste: Raisins, brown sugar, coffee, a little bit of wood, good amount of bitterness. Vanilla peaks through here and there.



Feel: Full bodied, not a whole lot of carbonation. Oily. Alcohol warmth is gentle.



Overall: A nice stout. Nothing fancy."
Ten FIDY - Bourbon Barrel Aged,4.25,"Bought a single 12oz can $5.99 Village Bottle Shop

38 days old

Smell of dark chocolate, then bourbon

Dark black color

Heavy thick creamy mouthfeel

Medium-light carbonation

Taste of dark chocolate, bourbon, figs, vanilla

Overall a great sipper."
Ten FIDY - Bourbon Barrel Aged,4.42,"A great barrel aged imperial stout. It has smooth and thick feel, but the fizzy carbonation may be a little much. The taste holds strong and lingers awhile. There is a slight bitter back end to the flavor that brings it down a little for me. Overall, a great beer."
Ten FIDY - Bourbon Barrel Aged,5,Massive terps. Will be buying the remaining ones from my local liquor store
Ten FIDY - Bourbon Barrel Aged,4.23,"Light rain while out in The 'Zebo on a pleasant Saturday eve.... going to jump into two 12oz cans.... Both canned 18NOV20.... 



The brew has been duly snifterized.... It's an oily, opaque black, with an attractive, rocky, dark mocha head. Lacing is solid all around the glass. Bourbon notes are the first things to hit the olfactories.... also present is Bosco-like choco, caramel and molasses, plus bourbon in the background. Mmmm... It's fairly smooth, though a bit less hefty in the body category, imo. I like my stouts full and chewy.



Taste mimics the aroma, with rich choco, vanilla, caramel/toffee, molasses, and hints of raisins and prunes. Again, lurking in the shadows is a pleasant layer of bourbon. A very nice brew, all around. Cheers!!



4.23/5 rDev -5.6%

look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4 | overall: 4.25



2299"
Ten FIDY - Bourbon Barrel Aged,4.48,"This one was a jet black color with a fluffy brown head. The aroma was chocolate with toffee and bourbon. The taste had chocolate with some caramel, oak, and then a nice bourbon flavor. Nice creamy mouth feel. Very nice."
Trappist Westvleteren 8 (VIII),4.49,"Pours a firm burgundy color with a little haze to the transparency. A little protein build up floats in the glass. The first 3/4 of the bottle was poured into the glass for this review, with more sediment in the final quarter. Head is three fingers of off-white foam, which retains well. Aroma is sticky caramel, toffee, raisins, and bread pudding. A little yeast spice counters the initial sugary notes, with bready, caramely, light earthy malts firming up the whole thing. Clove adds a bit of herbal bite to the mid-section. Flavor profile is raisins, toffee, molasses, cinnamon, and almonds. Spicy yeast esters work well with bready, caramely, earthy malts to balance out the initial sugary notes, without smothering them out. In total, it has a hearty bread pudding taste without being over zealous in sweetness. Mouth feel is medium-thick with a soft, expansive effervescence that seems to feel bigger at the end than the start. This effect helps create a comforting, full feeling. Overall, some great malt and flavor undertones in both nose and taste. A comfortable blanket of a beer.



Served in a 15.5oz Spiegelau tulip from a 33cl bottle."
Trappist Westvleteren 8 (VIII),4.47,"330mL bottle (best by 10/23/2019, so bottled 10/23/2016) into a Westmalle chalice. 



Pours a slightly hazy deep mahogany with minimal head, lots of tiny floaties suspended throughout, steady carbonation rising to the surface. 



Aroma is bready and sweet with notes of figs and dates, candi sugar, caramel. Delicate and nicely balanced. 



Taste is likewise bready, balanced, and complex. One thing that stands out here, that I often don’t notice, is the quality of the water—clean and refreshing with a subtle mineral quality, like a cold spring. Caramel, dark stone fruits, Belgian yeast. Some vaguely wintery spice and subtle Old World hops.



Mouthfeel is balanced and medium bodied with perfect carbonation. Finishes clean and crisp, just right. 



Overall, and not surprisingly, we have here a truly excellent, world-class dubbel. Maybe one of the best ones I’ve ever had."
Trappist Westvleteren 8 (VIII),4.43,"Pours a deep, dark brown coloration with a medium, fluffy, lasting head. Smells of slightly roasted, bready, caramel malt and estery fruit and spice, with just a hint of dark fruit and chocolate also coming through. Taste is an excellent balance of slightly roasted, bready, caramel malt, chocolate and dark and estery fruit and spice, with notes of raisin, fig, banana, clove and allspice, as well as hints of licorice and herbal, bitter hops. Finishes bittersweet, with notes of estery fruity and spice lingering in the aftertaste. Full mouthfeel with a medium/rich body and medium carbonation.



This actually feels very close to their Quadrupel for me, except maybe being not quite as rich, a little more carbonated and just a tad more roasted and bitter. For my personal taste, I probaly prefer it, to be honest. Still, without being quite worth its secondary price, this makes for a very impressive Dubbel that just stands slightly above offering such as Westmalle, St. Bernadus and Chimay due to its richness, balance and above all body and mouthfeel, with the estery character really standing out here."
Trappist Westvleteren 8 (VIII),4.59,"Boom! Boom! Boom! Like Northeudge in ‘94 or Tupac shooting a music video, this one shakes, rattles, and rolls! This one is like Barry Bonds on roids…oh wait, he already was.



Get sum."
Trappist Westvleteren 8 (VIII),4.48,"Blind-tasted except for the beer's name and brewery/country, zero reviews below read (yet!)...

L- Even rested/chilled it forms head really fast, so pour super-slow. Pours deep chestnut brown with slight haze and a mid-tan 6Cm head. There's fast rising CO2 micro-bubbles up the side of the nucleated glass. ps. Holds well and forms major lacing on the way down.

S- Strikingly deeply toasty and rich malts; it makes me imagine how a bag of ground up Maltesers might smell.

T- Again very malty, deep roasty, a notably fat but classy ABV% note crosses my palate, off into hops, then further rich malts and into a hoppier somewhat dry finish. Solid yet refined. Blimey, if you think this beer's reputation is hype, wait until you try it!

F- Rich deep roasty, the ABV% is clear enough it's similar to some liquor barrel aged beers. 

O- I picked this one for my 1950th review (the WestV12 will mark B2k). I was conscious of the brewery's repute and hype surrounding it, the difficulty getting their beer etc etc. Would I be underwhelmed, would I be underwhelmed but feel somehow obliged to rate it high. No way at all, this is a seriously luscious beer. Now perhaps some people might not like the fact that a 'mere' 8% beer lets you get an ABV% zing from it - some regard this as unclassy - but it works well within the rather glorious whole for me.

I'd happily drink this again, hell-ya, just maybe not at the cost it is imported into the UK! 

330ml bottle BB: [can't find on cap] Bought from a shop in Belgium as part of a large pick-your own consignment to London."
Trappist Westvleteren 8 (VIII),4.66,"Shared from a bottle with a friend on June 6, 2021.



The pour is mahogany brown with reddish hues under a boisterous, fluffy light tan head.



Lovely malt forward aroma sensations with Belgian spices and Belgian candied sugar.



The body was medium or better and smooth.



The taste is a luscious malt forward sweetness with Belgian candied sugars and the slightest clove and coriander character. Just delightful."
Trappist Westvleteren 8 (VIII),4.31,"A relatively gentle pour into a tulip still resulted in loads and loads of fizzy, beige colored head with some decent lacing. This is a very active beer in the glass. After 5 minutes, the head is still almost an inch thick and continues to be actively reinforced by the carbonation from below. Color is dark cola brown with a nice reddish tinge. Aroma is malty and sweet with a hint of alcohol. 



Taste has a wonderful balance of sweet malts but with a nice dry finish. There's a complexity to this that I just can't place, but whatever those tastes are, they're working very well together. For me, the feel really shines. Medium+ bodied, plenty of carbonation but not overdone, and smooth in a way that really hides the alcohol. Very well done beer."
DBR,2.94,It was infected.
DBR,4.42,"22oz bottle, taken from notes of Aug 2017



Pours black in color with a one-finger foamy khaki head that reduces to a ring around the edge. Smells of oaky bourbon, dark chocolate, vanilla, caramel, toffee and light coconut. Tastes of bold roasted notes up front give chocolate and char, followed by a compliment of barrel juice, oak, vanilla and caramel. The coconut develops near the finish, as well as more roast and barrel character. Medium-light body with moderate carbonation leads to a slightly foamy mouthfeel and a warming finish"
DBR,4.31,"Reviewed from (long-standing) notes. 22 oz bottle from the purchase at the brewery on 12/1/17 (Greatest Hits batch). Reviewed on 1/1/18. Poured into an El Catador Barrel-Aged glass.



A: Very dark brown to black, and opaque. A minimum of visible carbonation, and only a tan ring of foam. The foam stays around, but no real head formation.



S: Bourbon, chocolate, caramel, vanilla. Waffle cones and tobacco. Dark roasted malts with a modest roasty bitterness. Mild oak tannins. Quite a nice aroma, especially for non-adjunct stout.



T: Bourbon and dark chocolate, vanilla and caramel. Sticky dark roasted malts, milder coffee, Oak, tannins, more vanilla. Some drying tobacco within the tannins as well. Then more sweet bourbon and chocolate in the hang.



M: A nice heavy, thick and sticky body. Carbonation is low but fine for style. The alcohol flavors are very, very well-hidden for the monster ABV listed. Good barrel balance as well – obvious bourbon flavors but still lets the other flavors come out.



O: So…this is an excellent beer. Big sweet dark malty beer with good barrel presence and thick mouthfeel. BUT…I just had the Calusa Barrel-Aged Sworn to the Dark – and I think I might prefer the Calusa. It’s not a huge gap, and it’s rather like picking between a Ferrari and a Lamborghini, since I really liked both of them. Would drink this one again in a heartbeat."
DBR,4.41,"Great Hits DBR bottle. Strong, rich chocolate. As has been my experience with many Cycle beers, the barrel is very mild and subdued - there's a light woody presence to the beer, but the alcohol is very well blended. It's soft and quite drinkable, even given the ABV. I really liked this one - wish I hadn't shared mine!"
All That Is And All That Ever Will Be,4.53,Pours a dark brownish black. Aroma is milky dark chocolate with coffee. Taste follows nose with roastiness. Mouthfeel is creamy & full. Very nice stout.
All That Is And All That Ever Will Be,4.43,"16oz can. 



Pours opaque black with a half inch head of brown. Malted milk balls with dark chocolate and cocoa-dusted espresso beans in the nose. Full bodied with a crushed velvet mouthfeel. Brownie batter with chips of fudge on the palate. Finishes sweet and rich with chocolate cake and faint espresso."
All That Is And All That Ever Will Be,4.33,"Pours black, significant brown head. It definitely has that milk stout aroma - tangy/lactose and some alcohol. Taste is roasty with dark chocolate. Some umami/meatiness/soy sauce as well. Feel is somewhat creamy. Overall, one of my favorite milk stouts."
All That Is And All That Ever Will Be,4.04,"Pours like syrup--smooth and sweet. Very dark brown with a mocha head. It is rich with strong milk chocolate flavor, and subtle coffee flavor underneath. Several good aspects to this stout, but perhaps a bit too sweet, making this lean toward dessert beer."
Starry Noche,4.3,"To be clear this is absolutely a desert beer. Recommended to be had in s 4-6oz glass. Extremely thick dark color resembling black syrup. No head or carbonation. There’s a large amount of creamy, sweet, sugary hazelnut aromas. Looks, smells and tastes of hazelnut syrup. A little bit goes a long way. Arguably limited to no bourbon taste all hazelnut and chocolate syrup. Very unique goes well at the end of a meal with desert. 



This is one of the thicker stouts that I’ve ever had, just almost a solid instead of a liquid here. There’s no booziness, though.



I really like big pastry stouts, but this one is just too much. I used to really like the Medianoche series, but they seem to just be dialing it up way too far lately."
Starry Noche,3.63,"This one pours an exceptionally thick looking dark black color, with a small head, and a bit of sticky dark lacing.



This smells like incredibly sweet melted milkshakes – it smells good, but it’s just ridiculously over the top.



There’s an absurd amount of creamy, sweet, sugary hazelnut on the nose here – like a high quality hazelnut coffee thing. Like, it’s certainly tasty, objectively, but it’s just so over the top. More than 1 oz of this is more than enough. There’s basically no barrel, it’s just hazelnut, vanilla, and chocolate syrup overload.



This is one of the thicker stouts that I’ve ever had, just almost a solid instead of a liquid here. There’s no booziness, though.



I really like big pastry stouts, but this one is just too much. I used to really like the Medianoche series, but they seem to just be dialing it up way too far lately."
Starry Noche,4.97,"For starters: absolutely loved batch 2 (from last year as well. BUT, that is not why I’m here reviewing this magical moment…



My wife got me this one as a X-mas gift some time back, and I’ve been saving it for an occation… with yesterday being that day. The bold 600 ml bottle of B1 is looking really bubbly/curly when pouring in glass- but also: The nose is completely out-of-this-world, bursting with chocolate, hazelnuts and the thickest body imaginable. Mouthfeel is simply outstandingly incredible! This is quite possibly the best beer I’ve had- at least among the top 3. Long lasting, delicious taste that lingers. So happy I got to experience this one!"
Starry Noche,2.52,"Headlessly viscous burnt black with brown edges, the ominous appearance can't even begin to hint at just how HOLY SHIT WEIRD this 2021 bottle truly is.



Hazelnut paste quickly morphs into cashew cheese and buttered popcorn pot de creme that even verges into popcorn Jelly Belly, as one friend put it. But then my old lady described its nose as dirty dish rag and now I can't smell anything but.



We all had different glasses from different houses and this was our first pour during this bottle share, yet we all had the same offensive experience.



The mouthfeel is otherwise that thick and luscious, almost carbless globularity often hyptastically sought after these days, but not typically my own cup of tea. It clung ever so desperately to the kitchen sink as we drained pour the remaining putrescence.



How b2 has an over 4.5 rating on UnTappd is beyond me. What a bunch of sick, palate-wrecked liars. Speaking of, Anchorage's Sent By Liars is a far superior pastry stout if you're looking for something slightly more accessible that features these adjuncts."
